# 实验时间: 2026-04-09
# 基因稳定性验证结果 - Fold 2 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 1017
# 频次阈值: 1
# TopK(阈值<=1时生效): 100
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2423	48	94.1%
2	4272	44	86.3%
3	4779	42	82.4%
4	1257	41	80.4%
5	1381	40	78.4%
6	3431	40	78.4%
7	252	37	72.5%
8	709	36	70.6%
9	26	33	64.7%
10	4888	33	64.7%
11	182	32	62.7%
12	362	31	60.8%
13	125	30	58.8%
14	579	30	58.8%
15	16	29	56.9%
16	121	29	56.9%
17	527	29	56.9%
18	2089	29	56.9%
19	2395	29	56.9%
20	4392	29	56.9%
21	2396	28	54.9%
22	3557	27	52.9%
23	64	26	51.0%
24	154	26	51.0%
25	310	26	51.0%
26	1630	26	51.0%
27	3919	26	51.0%
28	4145	26	51.0%
29	4259	26	51.0%
30	4757	26	51.0%
31	1780	25	49.0%
32	152	24	47.1%
33	376	24	47.1%
34	509	24	47.1%
35	2887	23	45.1%
36	201	22	43.1%
37	1471	22	43.1%
38	2062	22	43.1%
39	306	21	41.2%
40	746	21	41.2%
41	1125	21	41.2%
42	3571	21	41.2%
43	4830	21	41.2%
44	88	20	39.2%
45	548	20	39.2%
46	1411	20	39.2%
47	55	19	37.3%
48	676	19	37.3%
49	4020	19	37.3%
50	1170	19	37.3%
51	707	18	35.3%
52	2984	18	35.3%
53	4740	18	35.3%
54	4903	18	35.3%
55	207	17	33.3%
56	700	17	33.3%
57	1950	17	33.3%
58	2537	17	33.3%
59	3792	17	33.3%
60	4125	17	33.3%
61	635	17	33.3%
62	189	17	33.3%
63	4495	17	33.3%
64	186	16	31.4%
65	2394	16	31.4%
66	2746	16	31.4%
67	3760	16	31.4%
68	3872	16	31.4%
69	4816	16	31.4%
70	698	16	31.4%
71	2405	16	31.4%
72	696	15	29.4%
73	810	15	29.4%
74	1994	15	29.4%
75	2191	15	29.4%
76	1435	15	29.4%
77	1766	15	29.4%
78	3441	15	29.4%
79	932	15	29.4%
80	658	14	27.5%
81	2463	14	27.5%
82	3170	14	27.5%
83	3724	14	27.5%
84	4457	14	27.5%
85	4940	14	27.5%
86	265	13	25.5%
87	4987	13	25.5%
88	722	13	25.5%
89	361	13	25.5%
90	1972	13	25.5%
91	506	13	25.5%
92	183	12	23.5%
93	472	12	23.5%
94	554	12	23.5%
95	1413	12	23.5%
96	3073	12	23.5%
97	1119	12	23.5%
98	3727	12	23.5%
99	4516	12	23.5%
100	3902	12	23.5%

======================================================================
# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 2 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 112
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2423	48	94.1%
2	4272	44	86.3%
3	1257	41	80.4%
4	4779	41	80.4%
5	1381	40	78.4%
6	3431	40	78.4%
7	252	35	68.6%
8	4888	33	64.7%
9	125	29	56.9%
10	4392	29	56.9%
11	2395	28	54.9%
12	2396	28	54.9%
13	3919	26	51.0%
