# 实验时间: 2026-04-09
# 基因稳定性验证结果 - Fold 0 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 1641
# 频次阈值: 1
# TopK(阈值<=1时生效): 100
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1950	51	100.0%
2	2423	51	100.0%
3	2469	51	100.0%
4	3073	51	100.0%
5	1044	50	98.0%
6	547	49	96.1%
7	1028	49	96.1%
8	1068	49	96.1%
9	2906	49	96.1%
10	110	48	94.1%
11	689	48	94.1%
12	792	48	94.1%
13	3752	48	94.1%
14	119	47	92.2%
15	166	47	92.2%
16	312	47	92.2%
17	656	47	92.2%
18	1976	47	92.2%
19	2602	47	92.2%
20	354	46	90.2%
21	676	46	90.2%
22	720	46	90.2%
23	1098	46	90.2%
24	1408	46	90.2%
25	2768	46	90.2%
26	204	45	88.2%
27	790	45	88.2%
28	2455	45	88.2%
29	577	44	86.3%
30	2427	44	86.3%
31	3173	44	86.3%
32	4892	44	86.3%
33	113	43	84.3%
34	310	43	84.3%
35	691	43	84.3%
36	974	43	84.3%
37	3149	43	84.3%
38	503	42	82.4%
39	556	42	82.4%
40	2023	42	82.4%
41	2080	42	82.4%
42	682	41	80.4%
43	709	41	80.4%
44	1621	41	80.4%
45	3431	41	80.4%
46	4083	41	80.4%
47	42	40	78.4%
48	2002	40	78.4%
49	2414	40	78.4%
50	3976	40	78.4%
51	219	39	76.5%
52	1629	39	76.5%
53	3852	39	76.5%
54	677	38	74.5%
55	737	38	74.5%
56	1055	38	74.5%
57	3569	38	74.5%
58	4077	38	74.5%
59	4102	38	74.5%
60	123	37	72.5%
61	3045	37	72.5%
62	4166	37	72.5%
63	4559	37	72.5%
64	4875	37	72.5%
65	395	36	70.6%
66	921	36	70.6%
67	1021	36	70.6%
68	1207	36	70.6%
69	1510	36	70.6%
70	150	35	68.6%
71	258	35	68.6%
72	3102	35	68.6%
73	3416	35	68.6%
74	3726	35	68.6%
