# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 1 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 111
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1950	51	100.0%
2	2469	51	100.0%
3	1028	50	98.0%
4	2423	50	98.0%
5	4450	50	98.0%
6	4586	44	86.3%
7	252	42	82.4%
8	2728	37	72.5%
9	4511	36	70.6%
10	1073	34	66.7%
11	3365	33	64.7%
12	4392	31	60.8%
13	2352	29	56.9%
14	40	25	49.0%
15	2245	24	47.1%
16	2493	24	47.1%
17	1257	21	41.2%
18	300	20	39.2%
19	2051	20	39.2%
20	4042	20	39.2%
21	457	18	35.3%
22	4043	18	35.3%
23	3647	16	31.4%
24	3200	16	31.4%
25	3902	15	29.4%
26	4758	14	27.5%
27	191	14	27.5%
28	1841	13	25.5%
29	4760	10	19.6%
30	35	9	17.6%
31	2046	9	17.6%
32	385	9	17.6%
33	404	9	17.6%
34	74	9	17.6%
35	3431	8	15.7%
36	4464	8	15.7%
37	4668	8	15.7%
38	3952	8	15.7%
39	4779	8	15.7%
40	4559	8	15.7%
41	2924	7	13.7%
42	2603	7	13.7%
43	3253	6	11.8%
44	3055	6	11.8%
45	4264	6	11.8%
46	4899	5	9.8%
47	3875	5	9.8%
48	759	5	9.8%
49	2918	5	9.8%
50	958	4	7.8%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 1 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 111
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1950	50	100.0%
2	2469	50	100.0%
3	1028	49	98.0%
4	2423	49	98.0%
5	4450	49	98.0%
6	4586	43	86.0%
7	252	41	82.0%
8	2728	36	72.0%
9	4511	35	70.0%
10	1073	33	66.0%
11	3365	32	64.0%
12	4392	30	60.0%
13	2352	28	56.0%
14	40	24	48.0%
15	2245	23	46.0%
16	2493	23	46.0%
17	4042	20	40.0%
18	1257	20	40.0%
19	300	19	38.0%
20	2051	19	38.0%
21	4043	18	36.0%
22	457	17	34.0%
23	3200	16	32.0%
24	3647	15	30.0%
25	3902	15	30.0%
26	191	14	28.0%
27	4758	13	26.0%
28	1841	12	24.0%
29	4760	10	20.0%
30	35	9	18.0%
31	2046	9	18.0%
32	385	9	18.0%
33	404	9	18.0%
34	74	9	18.0%
35	3431	8	16.0%
36	4464	8	16.0%
37	4668	8	16.0%
38	3952	8	16.0%
39	4779	8	16.0%
40	4559	8	16.0%
41	2924	7	14.0%
42	2603	7	14.0%
43	3253	6	12.0%
44	3055	6	12.0%
45	4264	6	12.0%
46	4899	5	10.0%
47	3875	5	10.0%
48	759	5	10.0%
49	2918	5	10.0%
50	958	4	8.0%
51	4678	4	8.0%
52	2125	4	8.0%
53	727	4	8.0%
54	393	4	8.0%
55	3576	4	8.0%
56	675	4	8.0%
57	1923	4	8.0%
58	1849	3	6.0%
59	2048	3	6.0%
60	1814	3	6.0%
61	3214	3	6.0%
62	1319	3	6.0%
63	3320	3	6.0%
