# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 4 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 125
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	3571	51	100.0%
2	2423	50	98.0%
3	3732	50	98.0%
4	1892	48	94.1%
5	3673	48	94.1%
6	1073	42	82.4%
7	300	40	78.4%
8	577	40	78.4%
9	3902	39	76.5%
10	1714	37	72.5%
11	534	36	70.6%
12	1950	35	68.6%
13	3952	35	68.6%
14	252	34	66.7%
15	125	33	64.7%
16	2469	33	64.7%
17	3309	31	60.8%
18	4030	30	58.8%
19	1733	26	51.0%
20	404	24	47.1%
21	1861	23	45.1%
22	2086	23	45.1%
23	958	22	43.1%
24	867	18	35.3%
25	4233	18	35.3%
26	4816	17	33.3%
27	2630	17	33.3%
28	4779	16	31.4%
29	2122	16	31.4%
30	4797	15	29.4%
31	1257	13	25.5%
32	2396	13	25.5%
33	2315	12	23.5%
34	1068	11	21.6%
35	4915	11	21.6%
36	1838	9	17.6%
37	3431	9	17.6%
38	4259	9	17.6%
39	727	8	15.7%
40	1629	8	15.7%
41	3766	8	15.7%
42	3889	8	15.7%
43	2395	7	13.7%
44	4264	7	13.7%
45	2673	7	13.7%
46	3475	7	13.7%
47	1319	7	13.7%
48	1381	7	13.7%
49	2352	7	13.7%
50	2831	6	11.8%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 4 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 125
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	3571	50	100.0%
2	2423	49	98.0%
3	3732	49	98.0%
4	1892	47	94.0%
5	3673	47	94.0%
6	1073	41	82.0%
7	300	39	78.0%
8	577	39	78.0%
9	3902	38	76.0%
10	1714	36	72.0%
11	534	35	70.0%
12	1950	34	68.0%
13	3952	34	68.0%
14	252	33	66.0%
15	125	32	64.0%
16	2469	32	64.0%
17	3309	30	60.0%
18	4030	29	58.0%
19	1733	25	50.0%
20	404	23	46.0%
21	1861	22	44.0%
22	2086	22	44.0%
23	958	21	42.0%
24	4233	18	36.0%
25	2630	17	34.0%
26	867	17	34.0%
27	2122	16	32.0%
28	4816	16	32.0%
29	4779	15	30.0%
30	4797	15	30.0%
31	1257	13	26.0%
32	2396	13	26.0%
33	2315	12	24.0%
34	1068	11	22.0%
35	4915	11	22.0%
36	1838	9	18.0%
37	3431	9	18.0%
38	4259	9	18.0%
39	727	8	16.0%
40	1629	8	16.0%
41	3766	8	16.0%
42	3889	8	16.0%
43	2395	7	14.0%
44	4264	7	14.0%
45	2673	7	14.0%
46	3475	7	14.0%
47	1319	7	14.0%
48	1381	7	14.0%
49	2352	7	14.0%
50	2668	6	12.0%
51	2046	6	12.0%
52	4811	6	12.0%
53	4470	6	12.0%
54	4682	5	10.0%
55	4740	5	10.0%
56	1732	5	10.0%
57	1723	5	10.0%
58	2831	5	10.0%
59	2345	4	8.0%
60	73	4	8.0%
61	4527	4	8.0%
62	3200	4	8.0%
63	457	4	8.0%
64	3253	4	8.0%
65	1585	4	8.0%
66	4500	4	8.0%
67	3620	3	6.0%
68	615	3	6.0%
69	3113	3	6.0%
70	3065	3	6.0%
71	832	3	6.0%
72	385	3	6.0%
73	3084	3	6.0%
74	3041	3	6.0%
75	3124	3	6.0%
76	1734	2	4.0%
77	2508	2	4.0%
78	84	2	4.0%
79	4057	2	4.0%
80	2788	2	4.0%
81	824	2	4.0%
82	1201	2	4.0%
83	3875	2	4.0%
84	4169	2	4.0%
85	1852	2	4.0%
86	2902	2	4.0%
87	3507	2	4.0%
88	4929	2	4.0%
89	4586	2	4.0%
90	2603	2	4.0%
91	4593	2	4.0%
92	4450	2	4.0%
93	4090	2	4.0%
94	1841	2	4.0%
95	1441	1	2.0%
96	3737	1	2.0%
97	3002	1	2.0%
98	4091	1	2.0%
99	3329	1	2.0%
100	536	1	2.0%

======================================================================
# 实验时间: 2026-04-02
