epochs,train_loss,val_cindex,val_cindex_ipcw,val_BS,val_IBS,val_iauc
0,1.1098461202289684,0.4691358024691358,0.5738593327755351,[0.0890803  0.36413336 0.49165342 0.92697045],0.6746709605662278,0.46188172449931014
1,1.062605656638562,0.47530864197530864,0.5783035285422825,[0.087719   0.34508713 0.47604875 0.91571917],0.6612066228849325,0.5067744047667827
2,1.0962041338613953,0.4382716049382716,0.616567140018888,[0.06946957 0.28622307 0.43207614 0.89198863],0.6263303717385468,0.5634767854603064
3,1.0265311046941095,0.46296296296296297,0.6321832286937844,[0.05997583 0.22785139 0.38836196 0.86219896],0.5890422631188579,0.3052873107082355
4,1.0064891747098013,0.48148148148148145,0.6445632282734639,[0.0528366  0.20922446 0.38768449 0.87272213],0.5924929004742009,0.3764755115441511
5,0.9553403597639267,0.47530864197530864,0.6421482612852872,[0.04709579 0.18776111 0.34484452 0.85384607],0.5623470423646605,0.268454852826989
6,1.022163608807128,0.42592592592592593,0.5585739750127656,[0.0623063  0.19641071 0.33410539 0.84530957],0.5540725224360291,0.14526902536433212
7,0.9953908879220127,0.43209876543209874,0.5629376399073217,[0.06832003 0.19860754 0.32831661 0.8660481 ],0.5609669610822682,0.13517305274358898
8,1.0458692494465645,0.4382716049382716,0.45101118496688913,[0.0581533  0.17391239 0.3536778  0.88932677],0.5823070721847698,0.14133833940996737
9,0.9350687332496227,0.4444444444444444,0.452671663641084,[0.05933342 0.17992746 0.31816725 0.87163079],0.5576045913005276,0.1555430530169194
10,0.9224123155630856,0.4506172839506173,0.45629535656594844,[0.05555752 0.17212615 0.34804453 0.89180816],0.5806047209824075,0.16405460303933672
11,0.9159908593486411,0.4506172839506173,0.5109757100983159,[0.08516748 0.23117232 0.33404614 0.87797932],0.5709858304112553,0.1642007995787626
12,0.8055023450112666,0.4444444444444444,0.4522979010676918,[0.07565449 0.19957806 0.29343014 0.83730285],0.5314490867718905,0.16355075274803388
13,0.9527219022366117,0.47530864197530864,0.4704163656920139,[0.06674239 0.18972985 0.31071741 0.84908911],0.5444143678191489,0.1726168501320225
14,0.9071973213331258,0.48148148148148145,0.4739154710924144,[0.07181601 0.19955256 0.33758546 0.87583357],0.5699623286491148,0.17672401720677242
15,0.7971933075080974,0.48148148148148145,0.4739154710924144,[0.06806987 0.18943307 0.31107467 0.86110632],0.5500624655578201,0.1790793948677613
16,0.8511953283639917,0.47530864197530864,0.47029177816754997,[0.06853683 0.18818886 0.30229872 0.84771948],0.5397408978388765,0.1796829568195203
17,0.7964145453949739,0.48148148148148145,0.47379088356795024,[0.07158436 0.19163989 0.30116004 0.84429549],0.5378663354058794,0.17967230572625395
18,0.835268289501588,0.47530864197530864,0.47029177816754997,[0.07319014 0.19401003 0.3031977  0.84524395],0.5394144866871088,0.17967230572625395
19,0.7932324427157551,0.47530864197530864,0.47029177816754997,[0.07322396 0.19409847 0.30337936 0.84555259],0.539646298212924,0.17967230572625395
