# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 112
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2423	47	94.0%
2	4272	43	86.0%
3	1257	40	80.0%
4	4779	40	80.0%
5	3431	39	78.0%
6	1381	39	78.0%
7	252	34	68.0%
8	4888	32	64.0%
9	4392	28	56.0%
10	125	28	56.0%
11	2395	27	54.0%
12	2396	27	54.0%
13	3919	25	50.0%
14	4757	25	50.0%
15	4259	25	50.0%
16	1471	21	42.0%
17	746	20	40.0%
18	3571	20	40.0%
19	4020	18	36.0%
20	4740	17	34.0%
21	4495	17	34.0%
22	1950	16	32.0%
23	361	13	26.0%
24	3902	12	24.0%
25	2450	11	22.0%
26	4815	11	22.0%
27	958	10	20.0%
28	534	10	20.0%
29	3507	9	18.0%
30	404	9	18.0%
31	385	9	18.0%
32	3340	8	16.0%
33	2728	7	14.0%
34	4055	7	14.0%
35	300	7	14.0%
36	2469	7	14.0%
37	3463	6	12.0%
38	4966	6	12.0%
39	3365	5	10.0%
40	4464	5	10.0%
41	1585	5	10.0%
42	3188	5	10.0%
43	2864	5	10.0%
44	4364	4	8.0%
45	4739	4	8.0%
46	4811	4	8.0%
47	3825	4	8.0%
48	4470	4	8.0%
49	2686	4	8.0%
50	3055	4	8.0%
51	2603	4	8.0%
52	4553	4	8.0%
53	3159	3	6.0%
54	2254	3	6.0%
55	1861	3	6.0%
56	695	2	4.0%
57	4127	2	4.0%
58	2136	2	4.0%
59	2399	2	4.0%
60	4821	2	4.0%
61	4632	2	4.0%
62	4681	2	4.0%
63	434	2	4.0%
64	578	2	4.0%
65	4500	2	4.0%
66	653	2	4.0%
67	3617	2	4.0%
68	1927	2	4.0%
69	4711	2	4.0%
70	4682	2	4.0%
71	1662	2	4.0%
72	991	2	4.0%
73	1868	2	4.0%
74	2045	2	4.0%
75	2352	1	2.0%
76	4437	1	2.0%
77	2046	1	2.0%
78	2437	1	2.0%
79	2753	1	2.0%
80	3827	1	2.0%
81	2113	1	2.0%
82	3686	1	2.0%
83	4566	1	2.0%
84	2815	1	2.0%
85	4797	1	2.0%
86	2204	1	2.0%
87	2643	1	2.0%
88	3979	1	2.0%
89	1904	1	2.0%
90	3766	1	2.0%
91	2850	1	2.0%
92	3253	1	2.0%
93	3544	1	2.0%
94	3875	1	2.0%
95	301	1	2.0%
96	3859	1	2.0%
97	3965	1	2.0%
98	1027	1	2.0%
99	4166	1	2.0%
100	4614	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 112
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2423	47	94.0%
2	4272	43	86.0%
3	1257	40	80.0%
4	4779	40	80.0%
5	3431	39	78.0%
6	1381	39	78.0%
7	252	34	68.0%
8	4888	32	64.0%
9	4392	28	56.0%
10	125	28	56.0%
11	2395	27	54.0%
12	2396	27	54.0%
13	3919	25	50.0%
14	4757	25	50.0%
15	4259	25	50.0%
16	1471	21	42.0%
17	746	20	40.0%
18	3571	20	40.0%
19	4020	18	36.0%
20	4740	17	34.0%
21	4495	17	34.0%
22	1950	16	32.0%
23	361	13	26.0%
24	3902	12	24.0%
25	2450	11	22.0%
26	4815	11	22.0%
27	958	10	20.0%
28	534	10	20.0%
29	3507	9	18.0%
30	404	9	18.0%
31	385	9	18.0%
32	3340	8	16.0%
33	2728	7	14.0%
34	4055	7	14.0%
35	300	7	14.0%
36	2469	7	14.0%
37	3463	6	12.0%
38	4966	6	12.0%
39	3365	5	10.0%
40	4464	5	10.0%
41	1585	5	10.0%
42	3188	5	10.0%
43	2864	5	10.0%
44	4364	4	8.0%
45	4739	4	8.0%
46	4811	4	8.0%
47	3825	4	8.0%
48	4470	4	8.0%
49	2686	4	8.0%
50	3055	4	8.0%
51	2603	4	8.0%
52	4553	4	8.0%
53	3159	3	6.0%
54	2254	3	6.0%
55	1861	3	6.0%
56	695	2	4.0%
57	4127	2	4.0%
58	2136	2	4.0%
59	2399	2	4.0%
60	4821	2	4.0%
61	4632	2	4.0%
62	4681	2	4.0%
63	434	2	4.0%
64	578	2	4.0%
65	4500	2	4.0%
66	653	2	4.0%
67	3617	2	4.0%
68	1927	2	4.0%
69	4711	2	4.0%
70	4682	2	4.0%
71	1662	2	4.0%
72	991	2	4.0%
73	1868	2	4.0%
74	2045	2	4.0%
75	2352	1	2.0%
76	4437	1	2.0%
77	2046	1	2.0%
78	2437	1	2.0%
79	2753	1	2.0%
80	3827	1	2.0%
81	2113	1	2.0%
82	3686	1	2.0%
83	4566	1	2.0%
84	2815	1	2.0%
85	4797	1	2.0%
86	2204	1	2.0%
87	2643	1	2.0%
88	3979	1	2.0%
89	1904	1	2.0%
90	3766	1	2.0%
91	2850	1	2.0%
92	3253	1	2.0%
93	3544	1	2.0%
94	3875	1	2.0%
95	301	1	2.0%
96	3859	1	2.0%
97	3965	1	2.0%
98	1027	1	2.0%
99	4166	1	2.0%
100	4614	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 112
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2423	47	94.0%
2	4272	43	86.0%
3	1257	40	80.0%
4	4779	40	80.0%
5	3431	39	78.0%
6	1381	39	78.0%
7	252	34	68.0%
8	4888	32	64.0%
9	4392	28	56.0%
10	125	28	56.0%
11	2395	27	54.0%
12	2396	27	54.0%
13	3919	25	50.0%
14	4757	25	50.0%
15	4259	25	50.0%
16	1471	21	42.0%
17	746	20	40.0%
18	3571	20	40.0%
19	4020	18	36.0%
20	4740	17	34.0%
21	4495	17	34.0%
22	1950	16	32.0%
23	361	13	26.0%
24	3902	12	24.0%
25	2450	11	22.0%
26	4815	11	22.0%
27	958	10	20.0%
28	534	10	20.0%
29	3507	9	18.0%
30	404	9	18.0%
31	385	9	18.0%
32	3340	8	16.0%
33	2728	7	14.0%
34	4055	7	14.0%
35	300	7	14.0%
36	2469	7	14.0%
37	3463	6	12.0%
38	4966	6	12.0%
39	3365	5	10.0%
40	4464	5	10.0%
41	1585	5	10.0%
42	3188	5	10.0%
43	2864	5	10.0%
44	4364	4	8.0%
45	4739	4	8.0%
46	4811	4	8.0%
47	3825	4	8.0%
48	4470	4	8.0%
49	2686	4	8.0%
50	3055	4	8.0%
51	2603	4	8.0%
52	4553	4	8.0%
53	3159	3	6.0%
54	2254	3	6.0%
55	1861	3	6.0%
56	695	2	4.0%
57	4127	2	4.0%
58	2136	2	4.0%
59	2399	2	4.0%
60	4821	2	4.0%
61	4632	2	4.0%
62	4681	2	4.0%
63	434	2	4.0%
64	578	2	4.0%
65	4500	2	4.0%
66	653	2	4.0%
67	3617	2	4.0%
68	1927	2	4.0%
69	4711	2	4.0%
70	4682	2	4.0%
71	1662	2	4.0%
72	991	2	4.0%
73	1868	2	4.0%
74	2045	2	4.0%
75	2352	1	2.0%
76	4437	1	2.0%
77	2046	1	2.0%
78	2437	1	2.0%
79	2753	1	2.0%
80	3827	1	2.0%
81	2113	1	2.0%
82	3686	1	2.0%
83	4566	1	2.0%
84	2815	1	2.0%
85	4797	1	2.0%
86	2204	1	2.0%
87	2643	1	2.0%
88	3979	1	2.0%
89	1904	1	2.0%
90	3766	1	2.0%
91	2850	1	2.0%
92	3253	1	2.0%
93	3544	1	2.0%
94	3875	1	2.0%
95	301	1	2.0%
96	3859	1	2.0%
97	3965	1	2.0%
98	1027	1	2.0%
99	4166	1	2.0%
100	4614	1	2.0%
