# 实验时间: 2026-04-10
# 基因稳定性验证结果 - Fold 0 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 1151
# 频次阈值: 1
# TopK(阈值<=1时生效): 100
#
# 排名	基因索引	出现次数	出现频率
==================================================
81	272	1	2.0%
82	3143	1	2.0%
83	1868	1	2.0%
84	2094	1	2.0%
85	3539	1	2.0%
86	4865	1	2.0%
87	1434	1	2.0%
88	4815	1	2.0%
89	3910	1	2.0%
90	467	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 90
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4219	41	82.0%
2	1308	37	74.0%
3	71	31	62.0%
4	1546	28	56.0%
5	3857	28	56.0%
6	4011	26	52.0%
7	811	24	48.0%
8	456	20	40.0%
9	4710	19	38.0%
10	1513	18	36.0%
11	4792	17	34.0%
12	681	16	32.0%
13	4401	16	32.0%
14	4211	15	30.0%
15	4081	13	26.0%
16	4264	13	26.0%
17	2033	13	26.0%
18	1292	13	26.0%
19	1994	12	24.0%
20	4832	11	22.0%
21	4283	9	18.0%
22	2197	8	16.0%
23	4226	8	16.0%
24	2895	8	16.0%
25	2817	7	14.0%
26	4589	6	12.0%
27	2169	6	12.0%
28	32	6	12.0%
29	3121	6	12.0%
30	415	5	10.0%
31	4866	5	10.0%
32	4141	5	10.0%
33	3354	5	10.0%
34	1965	5	10.0%
35	1656	5	10.0%
36	4655	5	10.0%
37	4395	4	8.0%
38	3425	4	8.0%
39	4804	4	8.0%
40	3537	4	8.0%
41	4279	4	8.0%
42	4709	4	8.0%
43	4831	4	8.0%
44	4110	4	8.0%
45	888	3	6.0%
46	1510	3	6.0%
47	1129	3	6.0%
48	1485	3	6.0%
49	2508	3	6.0%
50	3152	3	6.0%
51	4067	3	6.0%
52	4791	3	6.0%
53	4465	3	6.0%
54	2617	2	4.0%
55	4695	2	4.0%
56	4563	2	4.0%
57	1541	2	4.0%
58	2174	2	4.0%
59	1009	2	4.0%
60	2933	2	4.0%
61	3347	2	4.0%
62	4073	2	4.0%
63	3280	1	2.0%
64	4364	1	2.0%
65	4972	1	2.0%
66	1181	1	2.0%
67	1702	1	2.0%
68	776	1	2.0%
69	75	1	2.0%
70	4673	1	2.0%
71	963	1	2.0%
72	2745	1	2.0%
73	4317	1	2.0%
74	4586	1	2.0%
75	505	1	2.0%
76	1203	1	2.0%
77	2704	1	2.0%
78	449	1	2.0%
79	4973	1	2.0%
80	1207	1	2.0%
81	272	1	2.0%
82	3143	1	2.0%
83	1868	1	2.0%
84	2094	1	2.0%
85	3539	1	2.0%
86	4865	1	2.0%
87	1434	1	2.0%
88	4815	1	2.0%
89	3910	1	2.0%
90	467	1	2.0%
