# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 98
# 频次阈值: 2
# TopK(阈值<=1时生效): 100
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4586	44	88.0%
2	2508	43	86.0%
3	1101	38	76.0%
4	4401	32	64.0%
5	3347	28	56.0%
6	1573	25	50.0%
7	973	24	48.0%
8	1400	24	48.0%
9	3228	22	44.0%
10	4930	17	34.0%
11	4092	16	32.0%
12	1377	16	32.0%
13	2668	16	32.0%
14	2584	15	30.0%
15	4832	13	26.0%
16	2962	10	20.0%
17	71	9	18.0%
18	4989	8	16.0%
19	2780	6	12.0%
20	4415	6	12.0%
21	1100	6	12.0%
22	2507	6	12.0%
23	4585	6	12.0%
24	3084	6	12.0%
25	1308	5	10.0%
26	1478	5	10.0%
27	2667	5	10.0%
28	3346	5	10.0%
29	4306	5	10.0%
30	587	5	10.0%
31	4517	4	8.0%
32	3795	4	8.0%
33	811	4	8.0%
34	776	4	8.0%
35	3227	4	8.0%
36	4400	4	8.0%
37	4929	4	8.0%
38	1222	4	8.0%
39	661	4	8.0%
40	888	3	6.0%
41	3751	3	6.0%
42	4589	3	6.0%
43	972	3	6.0%
44	1376	3	6.0%
45	3271	3	6.0%
46	1572	3	6.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 98
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4586	44	88.0%
2	2508	43	86.0%
3	1101	38	76.0%
4	4401	32	64.0%
5	3347	28	56.0%
6	1573	25	50.0%
7	973	24	48.0%
8	1400	24	48.0%
9	3228	22	44.0%
10	4930	17	34.0%
11	4092	16	32.0%
12	1377	16	32.0%
13	2668	16	32.0%
14	2584	15	30.0%
15	4832	13	26.0%
16	2962	10	20.0%
17	71	9	18.0%
18	4989	8	16.0%
19	2780	6	12.0%
20	4415	6	12.0%
21	1100	6	12.0%
22	2507	6	12.0%
23	4585	6	12.0%
24	3084	6	12.0%
25	1308	5	10.0%
26	1478	5	10.0%
27	2667	5	10.0%
28	3346	5	10.0%
29	4306	5	10.0%
30	587	5	10.0%
31	4517	4	8.0%
32	3795	4	8.0%
33	811	4	8.0%
34	776	4	8.0%
35	3227	4	8.0%
36	4400	4	8.0%
37	4929	4	8.0%
38	1222	4	8.0%
39	661	4	8.0%
40	888	3	6.0%
41	3751	3	6.0%
42	4589	3	6.0%
43	972	3	6.0%
44	1376	3	6.0%
45	3271	3	6.0%
46	1572	3	6.0%
47	417	2	4.0%
48	3142	2	4.0%
49	2583	2	4.0%
50	2961	2	4.0%
51	3646	2	4.0%
52	3083	2	4.0%
53	4831	2	4.0%
54	104	2	4.0%
55	4870	2	4.0%
56	1562	2	4.0%
57	4988	2	4.0%
58	2617	2	4.0%
59	2033	2	4.0%
60	1994	2	4.0%
61	4945	2	4.0%
62	1458	2	4.0%
63	3881	2	4.0%
64	3880	2	4.0%
65	4259	1	2.0%
66	4333	1	2.0%
67	1307	1	2.0%
68	4414	1	2.0%
69	660	1	2.0%
70	1561	1	2.0%
71	3358	1	2.0%
72	3365	1	2.0%
73	2200	1	2.0%
74	2283	1	2.0%
75	4305	1	2.0%
76	1991	1	2.0%
77	2090	1	2.0%
78	4088	1	2.0%
79	4466	1	2.0%
80	2745	1	2.0%
81	4040	1	2.0%
82	3647	1	2.0%
83	1319	1	2.0%
84	3189	1	2.0%
85	91	1	2.0%
86	3568	1	2.0%
87	1578	1	2.0%
88	456	1	2.0%
89	1903	1	2.0%
90	775	1	2.0%
91	1221	1	2.0%
92	2616	1	2.0%
93	681	1	2.0%
94	3616	1	2.0%
95	343	1	2.0%
96	2895	1	2.0%
97	2744	1	2.0%
98	4091	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 98
#
