# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 2 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 67
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	880	50	98.0%
2	464	48	94.1%
3	4288	33	64.7%
4	4372	27	52.9%
5	4967	25	49.0%
6	3898	22	43.1%
7	4437	21	41.2%
8	4834	21	41.2%
9	3354	18	35.3%
10	4592	11	21.6%
11	3302	9	17.6%
12	4749	9	17.6%
13	3268	7	13.7%
14	1263	6	11.8%
15	4428	5	9.8%
16	4965	4	7.8%
17	1583	4	7.8%
18	3746	4	7.8%
19	4195	3	5.9%
20	2251	3	5.9%
21	2028	3	5.9%
22	938	3	5.9%
23	1162	3	5.9%
24	2611	2	3.9%
25	512	2	3.9%
26	2466	2	3.9%
27	44	2	3.9%
28	4286	2	3.9%
29	4370	2	3.9%
30	4832	2	3.9%
31	4464	2	3.9%
32	4791	2	3.9%
33	3897	2	3.9%
34	2562	1	2.0%
35	2832	1	2.0%
36	4655	1	2.0%
37	4741	1	2.0%
38	4842	1	2.0%
39	2093	1	2.0%
40	671	1	2.0%
41	4613	1	2.0%
42	4256	1	2.0%
43	4435	1	2.0%
44	2441	1	2.0%
45	4529	1	2.0%
46	1862	1	2.0%
47	2551	1	2.0%
48	3986	1	2.0%
49	4139	1	2.0%
50	1687	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 2 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 67
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	880	49	98.0%
2	464	47	94.0%
3	4288	32	64.0%
4	4372	26	52.0%
5	4967	24	48.0%
6	3898	21	42.0%
7	4834	20	40.0%
8	4437	20	40.0%
9	3354	18	36.0%
10	4592	11	22.0%
11	3302	9	18.0%
12	4749	9	18.0%
13	3268	7	14.0%
14	1263	6	12.0%
15	4428	5	10.0%
16	4965	4	8.0%
17	1583	4	8.0%
18	3746	4	8.0%
19	4195	3	6.0%
20	2251	3	6.0%
21	2028	3	6.0%
22	938	3	6.0%
23	1162	3	6.0%
24	2611	2	4.0%
25	512	2	4.0%
26	2466	2	4.0%
27	44	2	4.0%
28	4286	2	4.0%
29	4370	2	4.0%
30	4832	2	4.0%
31	4464	2	4.0%
32	4791	2	4.0%
33	3897	2	4.0%
34	2562	1	2.0%
35	2832	1	2.0%
36	4655	1	2.0%
37	4741	1	2.0%
38	4842	1	2.0%
39	2093	1	2.0%
40	671	1	2.0%
41	4613	1	2.0%
42	4256	1	2.0%
43	4435	1	2.0%
44	2441	1	2.0%
45	4529	1	2.0%
46	1862	1	2.0%
47	2551	1	2.0%
48	3986	1	2.0%
49	4139	1	2.0%
50	1687	1	2.0%
51	4983	1	2.0%
52	4934	1	2.0%
53	2875	1	2.0%
54	3267	1	2.0%
55	3745	1	2.0%
56	3853	1	2.0%
57	212	1	2.0%
58	3926	1	2.0%
59	4790	1	2.0%
60	1709	1	2.0%
61	1743	1	2.0%
62	4789	1	2.0%
63	3973	1	2.0%
64	2250	1	2.0%
65	3296	1	2.0%
66	3880	1	2.0%
67	989	1	2.0%
