# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 4 - coadread
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 79
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4372	48	96.0%
2	880	47	94.0%
3	1212	40	80.0%
4	2937	40	80.0%
5	3841	40	80.0%
6	2734	37	74.0%
7	3272	30	60.0%
8	2970	24	48.0%
9	420	19	38.0%
10	4894	19	38.0%
11	3661	17	34.0%
12	2200	14	28.0%
13	4640	12	24.0%
14	2160	10	20.0%
15	3838	10	20.0%
16	1118	10	20.0%
17	2223	9	18.0%
18	3646	9	18.0%
19	3153	9	18.0%
20	968	8	16.0%
21	1539	8	16.0%
22	3029	6	12.0%
23	1709	6	12.0%
24	2440	5	10.0%
25	4613	5	10.0%
26	426	5	10.0%
27	140	4	8.0%
28	414	4	8.0%
29	3880	3	6.0%
30	4251	3	6.0%
31	4794	3	6.0%
32	2483	3	6.0%
33	4893	3	6.0%
34	4834	2	4.0%
35	4684	2	4.0%
36	192	2	4.0%
37	4791	2	4.0%
38	4220	2	4.0%
39	277	2	4.0%
40	2733	2	4.0%
41	4371	2	4.0%
42	4199	2	4.0%
43	131	2	4.0%
44	1234	1	2.0%
45	1881	1	2.0%
46	1831	1	2.0%
47	2833	1	2.0%
48	3738	1	2.0%
49	4292	1	2.0%
50	1326	1	2.0%
51	4710	1	2.0%
52	3541	1	2.0%
53	2221	1	2.0%
54	1197	1	2.0%
55	1909	1	2.0%
56	2595	1	2.0%
57	3270	1	2.0%
58	4562	1	2.0%
59	1897	1	2.0%
60	3304	1	2.0%
61	3986	1	2.0%
62	4700	1	2.0%
63	4037	1	2.0%
64	303	1	2.0%
65	216	1	2.0%
66	1211	1	2.0%
67	1708	1	2.0%
68	2606	1	2.0%
69	3645	1	2.0%
70	2936	1	2.0%
71	3152	1	2.0%
72	3271	1	2.0%
73	3840	1	2.0%
74	4639	1	2.0%
75	2496	1	2.0%
76	3814	1	2.0%
77	4990	1	2.0%
78	1620	1	2.0%
79	4421	1	2.0%
