# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 84
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2835	48	96.0%
2	3652	38	76.0%
3	1646	33	66.0%
4	784	32	64.0%
5	831	29	58.0%
6	4238	24	48.0%
7	4840	20	40.0%
8	1836	14	28.0%
9	2166	14	28.0%
10	4417	10	20.0%
11	2685	8	16.0%
12	3200	8	16.0%
13	3308	7	14.0%
14	2990	7	14.0%
15	3198	7	14.0%
16	4058	7	14.0%
17	349	6	12.0%
18	2679	6	12.0%
19	4182	5	10.0%
20	2490	5	10.0%
21	4733	5	10.0%
22	1763	4	8.0%
23	4279	4	8.0%
24	4518	4	8.0%
25	3563	4	8.0%
26	1302	3	6.0%
27	3272	3	6.0%
28	3902	3	6.0%
29	4394	3	6.0%
30	455	3	6.0%
31	3544	3	6.0%
32	4989	3	6.0%
33	4866	3	6.0%
34	4661	3	6.0%
35	4021	2	4.0%
36	4399	2	4.0%
37	4638	2	4.0%
38	4346	2	4.0%
39	4946	2	4.0%
40	1835	2	4.0%
41	2834	2	4.0%
42	3651	2	4.0%
43	2824	2	4.0%
44	2681	2	4.0%
45	3135	2	4.0%
46	2973	2	4.0%
47	4932	2	4.0%
48	3166	2	4.0%
49	3997	2	4.0%
50	1503	1	2.0%
51	2365	1	2.0%
52	3937	1	2.0%
53	1645	1	2.0%
54	2165	1	2.0%
55	4416	1	2.0%
56	1711	1	2.0%
57	3286	1	2.0%
58	3686	1	2.0%
59	4586	1	2.0%
60	3165	1	2.0%
61	4517	1	2.0%
62	1613	1	2.0%
63	2587	1	2.0%
64	18	1	2.0%
65	1868	1	2.0%
66	3664	1	2.0%
67	3585	1	2.0%
68	986	1	2.0%
69	780	1	2.0%
70	2204	1	2.0%
71	4004	1	2.0%
72	4068	1	2.0%
73	360	1	2.0%
74	2220	1	2.0%
75	2650	1	2.0%
76	3277	1	2.0%
77	3358	1	2.0%
78	3328	1	2.0%
79	3447	1	2.0%
80	3524	1	2.0%
81	2514	1	2.0%
82	4912	1	2.0%
83	3297	1	2.0%
84	4217	1	2.0%
