# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 90
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	534	46	92.0%
2	349	43	86.0%
3	3135	41	82.0%
4	3524	41	82.0%
5	903	37	74.0%
6	4876	37	74.0%
7	1883	36	72.0%
8	2678	31	62.0%
9	2048	27	54.0%
10	3850	25	50.0%
11	3658	25	50.0%
12	446	24	48.0%
13	4650	22	44.0%
14	456	16	32.0%
15	3990	16	32.0%
16	2124	16	32.0%
17	2835	15	30.0%
18	68	15	30.0%
19	4425	14	28.0%
20	2679	14	28.0%
21	2588	12	24.0%
22	2990	11	22.0%
23	2401	11	22.0%
24	1400	10	20.0%
25	1793	9	18.0%
26	4238	9	18.0%
27	4399	9	18.0%
28	4282	9	18.0%
29	190	8	16.0%
30	4367	8	16.0%
31	4952	8	16.0%
32	2424	6	12.0%
33	4733	6	12.0%
34	3118	6	12.0%
35	2128	6	12.0%
36	3113	5	10.0%
37	4717	5	10.0%
38	3902	5	10.0%
39	4552	5	10.0%
40	3942	4	8.0%
41	1566	4	8.0%
42	1491	4	8.0%
43	589	3	6.0%
44	1495	3	6.0%
45	1165	3	6.0%
46	1461	3	6.0%
47	543	3	6.0%
48	2652	3	6.0%
49	3128	2	4.0%
50	2514	2	4.0%
51	1258	2	4.0%
52	1302	2	4.0%
53	1561	2	4.0%
54	4638	2	4.0%
55	813	2	4.0%
56	3102	2	4.0%
57	1889	2	4.0%
58	3272	2	4.0%
59	3308	2	4.0%
60	301	2	4.0%
61	973	2	4.0%
62	3605	2	4.0%
63	3703	1	2.0%
64	4917	1	2.0%
65	303	1	2.0%
66	4395	1	2.0%
67	2123	1	2.0%
68	3829	1	2.0%
69	4166	1	2.0%
70	1275	1	2.0%
71	1298	1	2.0%
72	3366	1	2.0%
73	1797	1	2.0%
74	175	1	2.0%
75	1651	1	2.0%
76	4459	1	2.0%
77	4350	1	2.0%
78	2365	1	2.0%
79	1771	1	2.0%
80	432	1	2.0%
81	612	1	2.0%
82	1641	1	2.0%
83	3739	1	2.0%
84	1266	1	2.0%
85	4373	1	2.0%
86	1589	1	2.0%
87	4641	1	2.0%
88	4648	1	2.0%
89	533	1	2.0%
90	2909	1	2.0%
