# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 1 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 84
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	75	43	86.0%
2	2962	40	80.0%
3	1994	39	78.0%
4	4655	35	70.0%
5	4211	31	62.0%
6	1965	29	58.0%
7	3347	29	58.0%
8	4589	26	52.0%
9	2169	21	42.0%
10	151	20	40.0%
11	661	18	36.0%
12	4792	17	34.0%
13	2737	17	34.0%
14	71	14	28.0%
15	2033	10	20.0%
16	4004	10	20.0%
17	456	8	16.0%
18	4143	7	14.0%
19	4401	7	14.0%
20	272	7	14.0%
21	694	6	12.0%
22	467	5	10.0%
23	4866	5	10.0%
24	4920	5	10.0%
25	505	4	8.0%
26	2090	4	8.0%
27	4306	4	8.0%
28	1643	4	8.0%
29	4110	4	8.0%
30	2508	4	8.0%
31	32	3	6.0%
32	4791	3	6.0%
33	4092	3	6.0%
34	4798	3	6.0%
35	175	3	6.0%
36	3810	3	6.0%
37	191	2	4.0%
38	4318	2	4.0%
39	4586	2	4.0%
40	415	2	4.0%
41	4386	2	4.0%
42	3188	2	4.0%
43	4665	2	4.0%
44	1511	2	4.0%
45	1308	2	4.0%
46	2817	2	4.0%
47	1524	2	4.0%
48	4219	1	2.0%
49	4541	1	2.0%
50	681	1	2.0%
51	449	1	2.0%
52	3940	1	2.0%
53	4011	1	2.0%
54	4709	1	2.0%
55	1971	1	2.0%
56	4073	1	2.0%
57	4950	1	2.0%
58	3271	1	2.0%
59	4259	1	2.0%
60	50	1	2.0%
61	3449	1	2.0%
62	776	1	2.0%
63	1505	1	2.0%
64	1615	1	2.0%
65	4695	1	2.0%
66	4097	1	2.0%
67	3408	1	2.0%
68	4226	1	2.0%
69	4415	1	2.0%
70	1332	1	2.0%
71	2815	1	2.0%
72	3714	1	2.0%
73	1291	1	2.0%
74	2530	1	2.0%
75	3645	1	2.0%
76	4919	1	2.0%
77	4265	1	2.0%
78	2012	1	2.0%
79	2174	1	2.0%
80	4082	1	2.0%
81	3274	1	2.0%
82	2584	1	2.0%
83	4870	1	2.0%
84	4329	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 1 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 84
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	75	43	86.0%
2	2962	40	80.0%
3	1994	39	78.0%
4	4655	35	70.0%
5	4211	31	62.0%
6	1965	29	58.0%
7	3347	29	58.0%
8	4589	26	52.0%
9	2169	21	42.0%
10	151	20	40.0%
11	661	18	36.0%
12	4792	17	34.0%
13	2737	17	34.0%
14	71	14	28.0%
15	2033	10	20.0%
16	4004	10	20.0%
17	456	8	16.0%
18	4143	7	14.0%
19	4401	7	14.0%
20	272	7	14.0%
21	694	6	12.0%
22	467	5	10.0%
23	4866	5	10.0%
24	4920	5	10.0%
25	505	4	8.0%
26	2090	4	8.0%
27	4306	4	8.0%
28	1643	4	8.0%
29	4110	4	8.0%
30	2508	4	8.0%
31	32	3	6.0%
32	4791	3	6.0%
33	4092	3	6.0%
34	4798	3	6.0%
35	175	3	6.0%
36	3810	3	6.0%
37	191	2	4.0%
38	4318	2	4.0%
39	4586	2	4.0%
40	415	2	4.0%
41	4386	2	4.0%
42	3188	2	4.0%
43	4665	2	4.0%
44	1511	2	4.0%
45	1308	2	4.0%
46	2817	2	4.0%
47	1524	2	4.0%
48	4219	1	2.0%
49	4541	1	2.0%
50	681	1	2.0%
51	449	1	2.0%
52	3940	1	2.0%
53	4011	1	2.0%
54	4709	1	2.0%
55	1971	1	2.0%
56	4073	1	2.0%
57	4950	1	2.0%
58	3271	1	2.0%
59	4259	1	2.0%
60	50	1	2.0%
61	3449	1	2.0%
62	776	1	2.0%
63	1505	1	2.0%
64	1615	1	2.0%
65	4695	1	2.0%
66	4097	1	2.0%
67	3408	1	2.0%
68	4226	1	2.0%
69	4415	1	2.0%
70	1332	1	2.0%
71	2815	1	2.0%
72	3714	1	2.0%
73	1291	1	2.0%
74	2530	1	2.0%
75	3645	1	2.0%
76	4919	1	2.0%
77	4265	1	2.0%
78	2012	1	2.0%
79	2174	1	2.0%
80	4082	1	2.0%
81	3274	1	2.0%
82	2584	1	2.0%
83	4870	1	2.0%
84	4329	1	2.0%
