# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 4 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 101
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2962	48	96.0%
2	4143	43	86.0%
3	4655	41	82.0%
4	3347	28	56.0%
5	1513	26	52.0%
6	827	24	48.0%
7	2584	23	46.0%
8	661	20	40.0%
9	1633	17	34.0%
10	4866	16	32.0%
11	2534	16	32.0%
12	1937	15	30.0%
13	4873	15	30.0%
14	4211	15	30.0%
15	1839	14	28.0%
16	18	13	26.0%
17	4850	13	26.0%
18	694	12	24.0%
19	4589	12	24.0%
20	2508	12	24.0%
21	2284	9	18.0%
22	830	8	16.0%
23	467	8	16.0%
24	1308	7	14.0%
25	71	7	14.0%
26	4219	6	12.0%
27	3606	6	12.0%
28	2649	5	10.0%
29	4979	5	10.0%
30	1615	5	10.0%
31	401	5	10.0%
32	1184	4	8.0%
33	2817	4	8.0%
34	4415	4	8.0%
35	720	4	8.0%
36	1066	4	8.0%
37	1787	4	8.0%
38	151	4	8.0%
39	2668	4	8.0%
40	3417	4	8.0%
41	4073	3	6.0%
42	1994	3	6.0%
43	1214	3	6.0%
44	4081	3	6.0%
45	3074	3	6.0%
46	174	3	6.0%
47	3126	2	4.0%
48	983	2	4.0%
49	1965	2	4.0%
50	2197	2	4.0%
51	963	2	4.0%
52	2895	2	4.0%
53	2902	2	4.0%
54	4067	2	4.0%
55	1643	2	4.0%
56	2412	2	4.0%
57	2012	2	4.0%
58	811	2	4.0%
59	4586	2	4.0%
60	3735	1	2.0%
61	4004	1	2.0%
62	4265	1	2.0%
63	4790	1	2.0%
64	3616	1	2.0%
65	4646	1	2.0%
66	4920	1	2.0%
67	2530	1	2.0%
68	4112	1	2.0%
69	3257	1	2.0%
70	481	1	2.0%
71	1279	1	2.0%
72	19	1	2.0%
73	3032	1	2.0%
74	3647	1	2.0%
75	1069	1	2.0%
76	3857	1	2.0%
77	4279	1	2.0%
78	4709	1	2.0%
79	3539	1	2.0%
80	2175	1	2.0%
81	4431	1	2.0%
82	4654	1	2.0%
83	585	1	2.0%
84	2169	1	2.0%
85	4266	1	2.0%
86	4980	1	2.0%
87	265	1	2.0%
88	4356	1	2.0%
89	3803	1	2.0%
90	3810	1	2.0%
91	3826	1	2.0%
92	4254	1	2.0%
93	4306	1	2.0%
94	1416	1	2.0%
95	2274	1	2.0%
96	3019	1	2.0%
97	3697	1	2.0%
98	4832	1	2.0%
99	4128	1	2.0%
100	4930	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 4 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 101
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	2962	48	96.0%
2	4143	43	86.0%
3	4655	41	82.0%
4	3347	28	56.0%
5	1513	26	52.0%
6	827	24	48.0%
7	2584	23	46.0%
8	661	20	40.0%
9	1633	17	34.0%
10	4866	16	32.0%
11	2534	16	32.0%
12	1937	15	30.0%
13	4873	15	30.0%
14	4211	15	30.0%
15	1839	14	28.0%
16	18	13	26.0%
17	4850	13	26.0%
18	694	12	24.0%
19	4589	12	24.0%
20	2508	12	24.0%
21	2284	9	18.0%
22	830	8	16.0%
23	467	8	16.0%
24	1308	7	14.0%
25	71	7	14.0%
26	4219	6	12.0%
27	3606	6	12.0%
28	2649	5	10.0%
29	4979	5	10.0%
30	1615	5	10.0%
31	401	5	10.0%
32	1184	4	8.0%
33	2817	4	8.0%
34	4415	4	8.0%
35	720	4	8.0%
36	1066	4	8.0%
37	1787	4	8.0%
38	151	4	8.0%
39	2668	4	8.0%
40	3417	4	8.0%
41	4073	3	6.0%
42	1994	3	6.0%
43	1214	3	6.0%
44	4081	3	6.0%
45	3074	3	6.0%
46	174	3	6.0%
47	3126	2	4.0%
48	983	2	4.0%
49	1965	2	4.0%
50	2197	2	4.0%
51	963	2	4.0%
52	2895	2	4.0%
53	2902	2	4.0%
54	4067	2	4.0%
55	1643	2	4.0%
56	2412	2	4.0%
57	2012	2	4.0%
58	811	2	4.0%
59	4586	2	4.0%
60	3735	1	2.0%
61	4004	1	2.0%
62	4265	1	2.0%
63	4790	1	2.0%
64	3616	1	2.0%
65	4646	1	2.0%
66	4920	1	2.0%
67	2530	1	2.0%
68	4112	1	2.0%
69	3257	1	2.0%
70	481	1	2.0%
71	1279	1	2.0%
72	19	1	2.0%
73	3032	1	2.0%
74	3647	1	2.0%
75	1069	1	2.0%
76	3857	1	2.0%
77	4279	1	2.0%
78	4709	1	2.0%
79	3539	1	2.0%
80	2175	1	2.0%
81	4431	1	2.0%
82	4654	1	2.0%
83	585	1	2.0%
84	2169	1	2.0%
85	4266	1	2.0%
86	4980	1	2.0%
87	265	1	2.0%
88	4356	1	2.0%
89	3803	1	2.0%
90	3810	1	2.0%
91	3826	1	2.0%
92	4254	1	2.0%
93	4306	1	2.0%
94	1416	1	2.0%
95	2274	1	2.0%
96	3019	1	2.0%
97	3697	1	2.0%
98	4832	1	2.0%
99	4128	1	2.0%
100	4930	1	2.0%
