# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 1 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 46
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4257	49	96.1%
2	4002	46	90.2%
3	4740	46	90.2%
4	3782	30	58.8%
5	3770	28	54.9%
6	3991	24	47.1%
7	3577	20	39.2%
8	1733	17	33.3%
9	4516	16	31.4%
10	1711	10	19.6%
11	3110	10	19.6%
12	1478	7	13.7%
13	4988	6	11.8%
14	356	5	9.8%
15	4063	4	7.8%
16	3389	4	7.8%
17	4920	3	5.9%
18	887	3	5.9%
19	2788	3	5.9%
20	4835	2	3.9%
21	4372	2	3.9%
22	4865	2	3.9%
23	4270	2	3.9%
24	3690	2	3.9%
25	4414	2	3.9%
26	3737	2	3.9%
27	4187	2	3.9%
28	2803	2	3.9%
29	3661	2	3.9%
30	3899	1	2.0%
31	4425	1	2.0%
32	4450	1	2.0%
33	283	1	2.0%
34	453	1	2.0%
35	1861	1	2.0%
36	3434	1	2.0%
37	343	1	2.0%
38	3769	1	2.0%
39	3990	1	2.0%
40	4001	1	2.0%
41	4256	1	2.0%
42	4739	1	2.0%
43	4030	1	2.0%
44	3174	1	2.0%
45	876	1	2.0%
46	1955	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 1 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 46
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4257	48	96.0%
2	4002	45	90.0%
3	4740	45	90.0%
4	3782	29	58.0%
5	3770	27	54.0%
6	3991	23	46.0%
7	3577	19	38.0%
8	1733	16	32.0%
9	4516	16	32.0%
10	1711	10	20.0%
11	3110	10	20.0%
12	1478	7	14.0%
13	4988	6	12.0%
14	356	5	10.0%
15	4063	4	8.0%
16	3389	4	8.0%
17	4920	3	6.0%
18	887	3	6.0%
19	2788	3	6.0%
20	4835	2	4.0%
21	4372	2	4.0%
22	4865	2	4.0%
23	4270	2	4.0%
24	3690	2	4.0%
25	4414	2	4.0%
26	3737	2	4.0%
27	4187	2	4.0%
28	2803	2	4.0%
29	3661	2	4.0%
30	3899	1	2.0%
31	4425	1	2.0%
32	4450	1	2.0%
33	283	1	2.0%
34	453	1	2.0%
35	1861	1	2.0%
36	3434	1	2.0%
37	343	1	2.0%
38	3769	1	2.0%
39	3990	1	2.0%
40	4001	1	2.0%
41	4256	1	2.0%
42	4739	1	2.0%
43	4030	1	2.0%
44	3174	1	2.0%
45	876	1	2.0%
46	1955	1	2.0%
